COUNTY,DESCRIPTION,START,STOP,PATIENT,ENCOUNTER,CODE
Worcester County,Allergy to grass pollen,7,3,7,7,7
Worcester County,Allergy to tree pollen,7,2,7,7,7
Worcester County,House dust mite allergy,7,2,7,7,7
Worcester County,Dander (animal) allergy,7,2,7,7,7
Worcester County,Shellfish allergy,5,0,5,5,5
Worcester County,Allergy to fish,4,0,4,4,4
Worcester County,Allergy to bee venom,4,0,4,4,4
Worcester County,Allergy to wheat,3,1,3,3,3
Worcester County,Allergy to eggs,2,1,2,2,2
Worcester County,Allergy to nut,2,0,2,2,2
Worcester County,Allergy to peanuts,1,0,1,1,1
Worcester County,Allergy to dairy product,1,0,1,1,1
