COUNTY,DESCRIPTION,DATE,PATIENT,ENCOUNTER,CODE,VALUE,UNITS,TYPE
Berkshire County,Potassium,101,101,101,101,101,101,101
Berkshire County,Glucose,101,101,101,101,101,101,101
Berkshire County,Triglycerides,94,94,94,94,94,94,94
Berkshire County,Total Cholesterol,94,94,94,94,94,94,94
Berkshire County,Low Density Lipoprotein Cholesterol,94,94,94,94,94,94,94
Berkshire County,High Density Lipoprotein Cholesterol,94,94,94,94,94,94,94
Berkshire County,Hemoglobin A1c/Hemoglobin.total in Blood,59,59,59,59,59,59,59
Berkshire County,MCHC [Mass/volume] by Automated count,53,53,53,53,53,53,53
Berkshire County,MCV [Entitic volume] by Automated count,53,53,53,53,53,53,53
Berkshire County,Platelet mean volume [Entitic volume] in Blood by Automated count,53,53,53,53,53,53,53
Berkshire County,Hemoglobin [Mass/volume] in Blood,53,53,53,53,53,53,53
Berkshire County,Platelets [#/volume] in Blood by Automated count,53,53,53,53,53,53,53
Berkshire County,MCH [Entitic mass] by Automated count,53,53,53,53,53,53,53
Berkshire County,Platelet distribution width [Entitic volume] in Blood by Automated count,53,53,53,53,53,53,53
Berkshire County,Leukocytes [#/volume] in Blood by Automated count,52,52,52,52,52,52,52
Berkshire County,Hematocrit [Volume Fraction] of Blood by Automated count,52,52,52,52,52,52,52
Berkshire County,Erythrocyte distribution width [Entitic volume] by Automated count,52,52,52,52,52,52,52
Berkshire County,Erythrocytes [#/volume] in Blood by Automated count,52,52,52,52,52,52,52
Berkshire County,Body mass index (BMI) [Percentile] Per age and gender,51,51,51,51,51,51,51
Berkshire County,Weight-for-length Per age and sex,46,46,46,46,46,46,46
Berkshire County,Head Occipital-frontal circumference,46,46,46,46,46,46,46
Berkshire County,Glomerular filtration rate/1.73 sq M.predicted,42,42,42,42,42,42,42
Berkshire County,Protein [Mass/volume] in Serum or Plasma,40,40,40,40,40,40,40
Berkshire County,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,40,40,40,40,40,40,40
Berkshire County,Globulin [Mass/volume] in Serum by calculation,40,40,40,40,40,40,40
Berkshire County,Bilirubin.total [Mass/volume] in Serum or Plasma,40,40,40,40,40,40,40
Berkshire County,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,40,40,40,40,40,40,40
Berkshire County,Albumin [Mass/volume] in Serum or Plasma,40,40,40,40,40,40,40
Berkshire County,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,40,40,40,40,40,40,40
Berkshire County,Sexual orientation,13,13,13,13,13,13,13
Berkshire County,Are you covered by health insurance or some other kind of health care plan [PhenX],13,13,13,13,13,13,13
Berkshire County,Housing status,13,13,13,13,13,13,13
Berkshire County,Abuse Status [OMAHA],13,13,13,13,13,13,13
Berkshire County,HIV status,13,13,13,13,13,13,13
Berkshire County,History of Hospitalizations+Outpatient visits,13,13,13,13,13,13,13
Berkshire County,Estimated Glomerular Filtration Rate,12,12,12,12,12,12,12
Berkshire County,Microalbumin Creatinine Ratio,12,12,12,12,12,12,12
Berkshire County,Left ventricular Ejection fraction,10,10,10,10,10,10,10
Berkshire County,FEV1/FVC,10,10,10,10,10,10,10
Berkshire County,Body temperature,9,9,9,9,9,9,9
Berkshire County,Protein [Presence] in Urine by Test strip,2,2,2,2,2,2,2
Berkshire County,Protein [Mass/volume] in Urine by Test strip,2,2,2,2,2,2,2
Berkshire County,Oxygen saturation in Arterial blood,2,2,2,2,2,2,2
Berkshire County,Odor of Urine,2,2,2,2,2,2,2
Berkshire County,Nitrite [Presence] in Urine by Test strip,2,2,2,2,2,2,2
Berkshire County,Appearance of Urine,2,2,2,2,2,2,2
Berkshire County,pH of Urine by Test strip,2,2,2,2,2,2,2
Berkshire County,Specific gravity of Urine by Test strip,2,2,2,2,2,2,2
Berkshire County,Hemoglobin.gastrointestinal [Presence] in Stool by Immunologic method,2,2,2,2,2,2,2
Berkshire County,Polyp size greatest dimension by CAP cancer protocols,2,2,2,2,2,2,2
Berkshire County,Glucose [Presence] in Urine by Test strip,2,2,2,2,2,2,2
Berkshire County,Glucose [Mass/volume] in Urine by Test strip,2,2,2,2,2,2,2
Berkshire County,Ketones [Mass/volume] in Urine by Test strip,2,2,2,2,2,2,2
Berkshire County,Clarity of Urine,2,2,2,2,2,2,2
Berkshire County,Color of Urine,2,2,2,2,2,2,2
Berkshire County,Ketones [Presence] in Urine by Test strip,2,2,2,2,2,2,2
Berkshire County,Leukocyte esterase [Presence] in Urine by Test strip,2,2,2,2,2,2,2
Berkshire County,Hemoglobin [Presence] in Urine by Test strip,2,2,2,2,2,2,2
Berkshire County,Bilirubin.total [Mass/volume] in Urine by Test strip,2,2,2,2,2,2,2
Berkshire County,Bilirubin.total [Presence] in Urine by Test strip,2,2,2,2,2,2,2
Berkshire County,DXA [T-score] Bone density,1,1,1,1,1,1,1
Berkshire County,Latex IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,WBC Auto (Bld) [#/Vol],1,1,1,1,1,1,1
Berkshire County,Walnut IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,Egg white IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,White oak IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,Wheat IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,Hematocrit [Volume Fraction] of Blood,1,1,1,1,1,1,1
Berkshire County,Honey bee IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,Peanut IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,RDW - Erythrocyte distribution width Auto (RBC) [Entitic vol],1,1,1,1,1,1,1
Berkshire County,Cat dander IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,Cladosporium herbarum IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,American house dust mite IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,NT-proBNP,1,1,1,1,1,1,1
Berkshire County,RBC Auto (Bld) [#/Vol],1,1,1,1,1,1,1
Berkshire County,Codfish IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,Cow milk IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,Soybean IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,Thyrotropin [Units/volume] in Serum or Plasma,1,1,1,1,1,1,1
Berkshire County,Common Ragweed IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,Shrimp IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,1,1,1,1,1,1,1
Bristol County,Pain severity - 0-10 verbal numeric rating [Score] - Reported,1066,1066,1066,1066,1066,1066,1066
Bristol County,DALY,960,960,0,960,960,960,960
Bristol County,QALY,960,960,0,960,960,960,960
Bristol County,QOLS,960,960,0,960,960,960,960
Bristol County,Systolic Blood Pressure,958,958,958,958,958,958,958
Bristol County,Diastolic Blood Pressure,958,958,958,958,958,958,958
Bristol County,Tobacco smoking status NHIS,953,953,953,953,953,0,953
Bristol County,Body Height,953,953,953,953,953,953,953
Bristol County,Body Weight,953,953,953,953,953,953,953
Bristol County,Respiratory rate,953,953,953,953,953,953,953
Bristol County,Heart rate,953,953,953,953,953,953,953
Bristol County,Body Mass Index,895,895,895,895,895,895,895
Bristol County,Carbon Dioxide,422,422,422,422,422,422,422
Bristol County,Chloride,422,422,422,422,422,422,422
Bristol County,Sodium,422,422,422,422,422,422,422
Bristol County,Calcium,422,422,422,422,422,422,422
Bristol County,Creatinine,422,422,422,422,422,422,422
Bristol County,Potassium,422,422,422,422,422,422,422
Bristol County,Glucose,422,422,422,422,422,422,422
Bristol County,Urea Nitrogen,422,422,422,422,422,422,422
Bristol County,Total Cholesterol,334,334,334,334,334,334,334
Bristol County,Triglycerides,334,334,334,334,334,334,334
Bristol County,Low Density Lipoprotein Cholesterol,334,334,334,334,334,334,334
Bristol County,High Density Lipoprotein Cholesterol,334,334,334,334,334,334,334
Bristol County,Hemoglobin A1c/Hemoglobin.total in Blood,302,302,302,302,302,302,302
Bristol County,Body mass index (BMI) [Percentile] Per age and gender,216,216,216,216,216,216,216
Bristol County,Platelets [#/volume] in Blood by Automated count,215,215,215,215,215,215,215
Bristol County,Platelet mean volume [Entitic volume] in Blood by Automated count,215,215,215,215,215,215,215
Bristol County,Platelet distribution width [Entitic volume] in Blood by Automated count,215,215,215,215,215,215,215
Bristol County,MCV [Entitic volume] by Automated count,215,215,215,215,215,215,215
Bristol County,MCHC [Mass/volume] by Automated count,215,215,215,215,215,215,215
Bristol County,MCH [Entitic mass] by Automated count,215,215,215,215,215,215,215
Bristol County,Hemoglobin [Mass/volume] in Blood,215,215,215,215,215,215,215
Bristol County,Hematocrit [Volume Fraction] of Blood by Automated count,210,210,210,210,210,210,210
Bristol County,Erythrocytes [#/volume] in Blood by Automated count,210,210,210,210,210,210,210
Bristol County,Erythrocyte distribution width [Entitic volume] by Automated count,210,210,210,210,210,210,210
Bristol County,Leukocytes [#/volume] in Blood by Automated count,210,210,210,210,210,210,210
Bristol County,Protein [Mass/volume] in Serum or Plasma,121,121,121,121,121,121,121
Bristol County,Globulin [Mass/volume] in Serum by calculation,121,121,121,121,121,121,121
Bristol County,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,121,121,121,121,121,121,121
Bristol County,Glomerular filtration rate/1.73 sq M.predicted,121,121,121,121,121,121,121
Bristol County,Albumin [Mass/volume] in Serum or Plasma,121,121,121,121,121,121,121
Bristol County,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,121,121,121,121,121,121,121
Bristol County,Bilirubin.total [Mass/volume] in Serum or Plasma,121,121,121,121,121,121,121
Bristol County,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,121,121,121,121,121,121,121
Bristol County,Body temperature,80,80,80,80,80,80,80
Bristol County,Weight-for-length Per age and sex,78,78,78,78,78,78,78
Bristol County,Head Occipital-frontal circumference,78,78,78,78,78,78,78
Bristol County,Microalbumin Creatinine Ratio,49,49,49,49,49,49,49
Bristol County,Estimated Glomerular Filtration Rate,49,49,49,49,49,49,49
Bristol County,FEV1/FVC,36,36,36,36,36,36,36
Bristol County,DXA [T-score] Bone density,10,10,10,10,10,10,10
Bristol County,American house dust mite IgE Ab in Serum,6,6,6,6,6,6,6
Bristol County,Cat dander IgE Ab in Serum,6,6,6,6,6,6,6
Bristol County,Honey bee IgE Ab in Serum,6,6,6,6,6,6,6
Bristol County,Cladosporium herbarum IgE Ab in Serum,6,6,6,6,6,6,6
Bristol County,Common Ragweed IgE Ab in Serum,6,6,6,6,6,6,6
Bristol County,Hemoglobin.gastrointestinal [Presence] in Stool by Immunologic method,6,6,6,6,6,6,6
Bristol County,Polyp size greatest dimension by CAP cancer protocols,6,6,6,6,6,6,6
Bristol County,White oak IgE Ab in Serum,6,6,6,6,6,6,6
Bristol County,Wheat IgE Ab in Serum,6,6,6,6,6,6,6
Bristol County,Peanut IgE Ab in Serum,6,6,6,6,6,6,6
Bristol County,Cow milk IgE Ab in Serum,6,6,6,6,6,6,6
Bristol County,Soybean IgE Ab in Serum,6,6,6,6,6,6,6
Bristol County,Latex IgE Ab in Serum,6,6,6,6,6,6,6
Bristol County,Shrimp IgE Ab in Serum,6,6,6,6,6,6,6
Bristol County,Walnut IgE Ab in Serum,6,6,6,6,6,6,6
Bristol County,Egg white IgE Ab in Serum,6,6,6,6,6,6,6
Bristol County,Codfish IgE Ab in Serum,6,6,6,6,6,6,6
Bristol County,Sexual orientation,5,5,5,5,5,5,5
Bristol County,Housing status,5,5,5,5,5,5,5
Bristol County,Response to cancer treatment,5,5,5,5,5,0,5
Bristol County,RDW - Erythrocyte distribution width Auto (RBC) [Entitic vol],5,5,5,5,5,5,5
Bristol County,Are you covered by health insurance or some other kind of health care plan [PhenX],5,5,5,5,5,5,5
Bristol County,WBC Auto (Bld) [#/Vol],5,5,5,5,5,5,5
Bristol County,Hematocrit [Volume Fraction] of Blood,5,5,5,5,5,5,5
Bristol County,HIV status,5,5,5,5,5,5,5
Bristol County,Abuse Status [OMAHA],5,5,5,5,5,5,5
Bristol County,RBC Auto (Bld) [#/Vol],5,5,5,5,5,5,5
Bristol County,History of Hospitalizations+Outpatient visits,5,5,5,5,5,5,5
Bristol County,Total score [MMSE],3,3,3,3,3,3,3
Bristol County,Physical findings of Prostate,3,3,3,3,3,3,3
Bristol County,Prostate specific Ag [Mass/volume] in Serum or Plasma,3,3,3,3,3,3,3
Bristol County,Leukocyte esterase [Presence] in Urine by Test strip,2,2,2,2,2,2,2
Bristol County,Left ventricular Ejection fraction,2,2,2,2,2,2,2
Bristol County,Specific gravity of Urine by Test strip,2,2,2,2,2,2,2
Bristol County,Nitrite [Presence] in Urine by Test strip,2,2,2,2,2,2,2
Bristol County,Odor of Urine,2,2,2,2,2,2,2
Bristol County,Cause of Death [US Standard Certificate of Death],2,2,2,2,2,0,2
Bristol County,Color of Urine,2,2,2,2,2,2,2
Bristol County,Protein [Mass/volume] in Urine by Test strip,2,2,2,2,2,2,2
Bristol County,Bilirubin.total [Presence] in Urine by Test strip,2,2,2,2,2,2,2
Bristol County,Bilirubin.total [Mass/volume] in Urine by Test strip,2,2,2,2,2,2,2
Bristol County,Appearance of Urine,2,2,2,2,2,2,2
Bristol County,Protein [Presence] in Urine by Test strip,2,2,2,2,2,2,2
Bristol County,Ketones [Mass/volume] in Urine by Test strip,2,2,2,2,2,2,2
Bristol County,pH of Urine by Test strip,2,2,2,2,2,2,2
Bristol County,Clarity of Urine,2,2,2,2,2,2,2
Bristol County,Hemoglobin [Presence] in Urine by Test strip,2,2,2,2,2,2,2
Bristol County,Ketones [Presence] in Urine by Test strip,2,2,2,2,2,2,2
Bristol County,Glucose [Presence] in Urine by Test strip,2,2,2,2,2,2,2
Bristol County,Glucose [Mass/volume] in Urine by Test strip,2,2,2,2,2,2,2
Bristol County,HER2 [Presence] in Breast cancer specimen by FISH,1,1,1,1,1,1,1
Bristol County,HER2 [Presence] in Breast cancer specimen by Immune stain,1,1,1,1,1,0,1
Bristol County,US Guidance for biopsy of Prostate,1,1,1,1,1,1,1
Bristol County,Progesterone receptor Ag [Presence] in Breast cancer specimen by Immune stain,1,1,1,1,1,0,1
Bristol County,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,1,1,1,1,1,1,1
Bristol County,Lymph nodes with macrometastases [#] in Cancer specimen by Light microscopy,1,1,1,1,1,1,1
Bristol County,Size.maximum dimension in Tumor,1,1,1,1,1,1,1
Bristol County,Thyrotropin [Units/volume] in Serum or Plasma,1,1,1,1,1,1,1
Bristol County,Estrogen receptor Ag [Presence] in Breast cancer specimen by Immune stain,1,1,1,1,1,0,1
Bristol County,Stage group.clinical Cancer,1,1,1,1,1,0,1
Bristol County,Regional lymph nodes.clinical [Class] Cancer,1,1,1,1,1,0,1
Bristol County,Primary tumor.clinical [Class] Cancer,1,1,1,1,1,0,1
Bristol County,Distant metastases.clinical [Class] Cancer,1,1,1,1,1,0,1
Bristol County,NT-proBNP,1,1,1,1,1,1,1
Dukes County,Potassium,129,129,129,129,129,129,129
Dukes County,Carbon Dioxide,129,129,129,129,129,129,129
Dukes County,Glucose,129,129,129,129,129,129,129
Dukes County,Urea Nitrogen,129,129,129,129,129,129,129
Dukes County,Creatinine,129,129,129,129,129,129,129
Dukes County,Calcium,129,129,129,129,129,129,129
Dukes County,Sodium,129,129,129,129,129,129,129
Dukes County,Chloride,129,129,129,129,129,129,129
Dukes County,Hemoglobin A1c/Hemoglobin.total in Blood,116,116,116,116,116,116,116
Dukes County,Body Height,116,116,116,116,116,116,116
Dukes County,Respiratory rate,116,116,116,116,116,116,116
Dukes County,Body Mass Index,116,116,116,116,116,116,116
Dukes County,Heart rate,116,116,116,116,116,116,116
Dukes County,Body Weight,116,116,116,116,116,116,116
Dukes County,Diastolic Blood Pressure,116,116,116,116,116,116,116
Dukes County,Pain severity - 0-10 verbal numeric rating [Score] - Reported,116,116,116,116,116,116,116
Dukes County,Systolic Blood Pressure,116,116,116,116,116,116,116
Dukes County,Tobacco smoking status NHIS,116,116,116,116,116,0,116
Dukes County,Low Density Lipoprotein Cholesterol,99,99,99,99,99,99,99
Dukes County,High Density Lipoprotein Cholesterol,99,99,99,99,99,99,99
Dukes County,Triglycerides,99,99,99,99,99,99,99
Dukes County,Total Cholesterol,99,99,99,99,99,99,99
Dukes County,Microalbumin Creatinine Ratio,76,76,76,76,76,76,76
Dukes County,Estimated Glomerular Filtration Rate,76,76,76,76,76,76,76
Dukes County,Platelets [#/volume] in Blood by Automated count,13,13,13,13,13,13,13
Dukes County,Platelet mean volume [Entitic volume] in Blood by Automated count,13,13,13,13,13,13,13
Dukes County,Platelet distribution width [Entitic volume] in Blood by Automated count,13,13,13,13,13,13,13
Dukes County,Hemoglobin [Mass/volume] in Blood,13,13,13,13,13,13,13
Dukes County,MCV [Entitic volume] by Automated count,13,13,13,13,13,13,13
Dukes County,MCHC [Mass/volume] by Automated count,13,13,13,13,13,13,13
Dukes County,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,13,13,13,13,13,13,13
Dukes County,Hematocrit [Volume Fraction] of Blood by Automated count,13,13,13,13,13,13,13
Dukes County,MCH [Entitic mass] by Automated count,13,13,13,13,13,13,13
Dukes County,Protein [Mass/volume] in Serum or Plasma,13,13,13,13,13,13,13
Dukes County,Erythrocyte distribution width [Entitic volume] by Automated count,13,13,13,13,13,13,13
Dukes County,Bilirubin.total [Mass/volume] in Serum or Plasma,13,13,13,13,13,13,13
Dukes County,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,13,13,13,13,13,13,13
Dukes County,Albumin [Mass/volume] in Serum or Plasma,13,13,13,13,13,13,13
Dukes County,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,13,13,13,13,13,13,13
Dukes County,Leukocytes [#/volume] in Blood by Automated count,13,13,13,13,13,13,13
Dukes County,Erythrocytes [#/volume] in Blood by Automated count,13,13,13,13,13,13,13
Dukes County,Globulin [Mass/volume] in Serum by calculation,13,13,13,13,13,13,13
Dukes County,Glomerular filtration rate/1.73 sq M.predicted,13,13,13,13,13,13,13
Dukes County,DALY,10,10,0,10,10,10,10
Dukes County,QALY,10,10,0,10,10,10,10
Dukes County,QOLS,10,10,0,10,10,10,10
Dukes County,Prostate specific Ag [Mass/volume] in Serum or Plasma,7,7,7,7,7,7,7
Dukes County,Physical findings of Prostate,7,7,7,7,7,7,7
Dukes County,Body temperature,5,5,5,5,5,5,5
Dukes County,US Guidance for biopsy of Prostate,4,4,4,4,4,4,4
Dukes County,Total score [MMSE],4,4,4,4,4,4,4
Dukes County,Color of Urine,3,3,3,3,3,3,3
Dukes County,Bilirubin.total [Presence] in Urine by Test strip,3,3,3,3,3,3,3
Dukes County,Appearance of Urine,3,3,3,3,3,3,3
Dukes County,pH of Urine by Test strip,3,3,3,3,3,3,3
Dukes County,Leukocyte esterase [Presence] in Urine by Test strip,3,3,3,3,3,3,3
Dukes County,Ketones [Presence] in Urine by Test strip,3,3,3,3,3,3,3
Dukes County,Odor of Urine,3,3,3,3,3,3,3
Dukes County,Protein [Presence] in Urine by Test strip,3,3,3,3,3,3,3
Dukes County,Ketones [Mass/volume] in Urine by Test strip,3,3,3,3,3,3,3
Dukes County,Clarity of Urine,3,3,3,3,3,3,3
